Purpose and category,,,
,,,
Row Labels,Business,Personal,Grand Total
Airport/Travel,54,,54
Between Offices,18,,18
Charity ($),,1,1
Commute,,1,1
Customer Visit,144,11,155
Errand/Supplies,159,14,173
Meal/Entertain,227,18,245
Meeting,280,16,296
Moving,,4,4
Temporary Site,184,10,194
Grand Total,1066,75,1141
,,,
Trips by Hour (Peak Time Analysis) - Count of Trips,,,
,,,
Row Labels,Count of MILES,,
Couples Glen,54.556626,,
Covington,48.923936,,
Coxville,20.11675,,
Daytona Beach,129.55187,,
Downtown,58.74091,,
Durham,507.103034,,
Eagan Park,6.276426,,
Eagle Rock,5.793624,,
East Austin,20.599552,,
East Elmhurst,13.035654,,
East Harlem,10.299776,,
Eastgate,9.173238,,
Edgehill Farms,33.957074,,
El Cerrito,4.988954,,
Elk Park,19.633948,,
Elmhurst,12.07005,,
Emeryville,84.168482,,
Fairmont,5.471756,,
Farmington Woods,14.001258,,
Fayetteville Street,35.083612,,
Financial District,7.724832,,
Flatiron District,2.574944,,
Florence,256.367862,,
Fort Pierce,134.058022,,
Fuquay-Varina,25.105704,,
Galveston,96.721334,,
Gampaha,77.570188,,
Georgian Acres,9.977908,,
Gulfton,18.990212,,
Hayesville,121.827038,,
Hazelwood,41.360038,,
Hell's Kitchen,3.21868,,
Heritage Pines,12.230984,,
Holly Springs,43.45218,,
Houston,141.460986,,
Hudson Square,10.299776,,
Huntington Woods,28.485318,,
Ingleside,8.85137,,
Islamabad,645.667208,,
Jackson Heights,2.896812,,
Jacksonville,280.347028,,
Jamaica,62.442392,,
Jamestown Court,1.60934,,
K Street,3.379614,,
Kalorama Triangle,6.920162,,
Kar?chi,185.235034,,
Karachi,36.532018,,
Katunayaka,71.132828,,
Katunayake,10.299776,,
Katy,48.602068,,
Kenner,184.591298,,
Kilarney Woods,10.299776,,
Kissimmee,262.805222,,
Krendle Woods,9.816974,,
Lahore,383.344788,,
Lake Reams,5.310822,,
Lake Wellingborough,12.230984,,
Lakeview,8.85137,,
Latta,499.378202,,
Lexington Park at Amberly,17.059004,,
Long Island City,22.369826,,
Lower Garden District,10.299776,,
Lower Manhattan,2.896812,,
Mandeville,52.786352,,
Marigny,2.41401,,
Mcvan,23.33543,,
Mebane,72.742168,,
Medical Centre,1.126538,,
Menlo Park,78.05299,,
Meredith,12.07005,,
Meredith Townes,41.03817,,
Metairie,50.050474,,
Midtown,162.865208,,
Midtown East,3.057746,,
Morrisville,1066.99242,,
Mountain View,70.167224,,
New Orleans,261.195882,,
New York,88.835568,,
Newark,56.165966,,
Newland,73.546838,,
NOMA,1.448406,,
Noorpur Shahan,37.980424,,
North Austin,11.587248,,
North Berkeley Hills,3.540548,,
Northwoods,16.415268,,
Nugegoda,5.793624,,
Oakland,95.272928,,
Old City,22.691694,,
Orlando,202.454972,,
Palo Alto,19.794882,,
Parkway,29.611856,,
Parkwood,1.931208,,
Pontchartrain Beach,11.26538,,
Pontchartrain Shores,10.46071,,
Port Bolivar,17.380872,,
Preston,21.887024,,
R?walpindi,399.11632,,
Raleigh,696.84422,,
Rawalpindi,215.007824,,
Red River District,1.60934,,
Redmond,4.667086,,
Renaissance,9.012304,,
Rose Hill,4.02335,,
San Francisco,163.830812,,
San Jose,77.892056,,
Sand Lake Commons,9.977908,,
Santa Clara,70.650026,,
Savon Height,31.060262,,
Seaport,5.310822,,
Seattle,22.852628,,
Sharpstown,76.282716,,
Sky Lake,9.65604,,
Soho,0.80467,,
SOMISSPO,4.506152,,
South,11.587248,,
South Berkeley,1.448406,,
South Congress,26.875978,,
Southside,11.748182,,
St Thomas,2.896812,,
Stonewater,4.82802,,
Storyville,4.988954,,
Sugar Land,56.487834,,
Summerwinds,14.001258,,
Sunnyside,1.126538,,
Sunnyvale,28.324384,,
Tanglewood,40.072566,,
Tenderloin,1.931208,,
The Drag,42.003774,,
Topton,113.45847,,
Townes at Everett Crossing,5.310822,,
Tribeca,1.448406,,
University District,8.0467,,
Unknown Location,2838.714826,,
Wake Co.,2.896812,,
Wake Forest,51.337946,,
Washington,10.621644,,
Washington Avenue,9.977908,,
Waverly Place,37.497622,,
Wayne Ridge,51.49888,,
West Berkeley,29.129054,,
West End,3.21868,,
West Palm Beach,18.346476,,
West University,7.081096,,
Weston,12.87472,,
Westpark Place,59.706514,,
Whitebridge,439.993556,,
Winston Salem,215.007824,,
Grand Total,18593.50969,,
,,,
Distance vs Revenue Analysis (Sum & Count of Miles by Distance Band),,,
,,,
Row Labels,Sum of MILES,Count of MILES2,
0-5,1117.68663,344,
Oct-20,4477.666682,308,
20+,10951.39777,220,
05-Oct,2046.758612,269,
Grand Total,18593.50969,1141,
